=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-11-26_18-3-11
====================================================================================
18:3:11 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
18:3:11 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
18:3:11 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
18:3:11 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
18:3:11 | Building Sets Loaded: 0
18:3:11 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
18:3:11 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
18:3:40 | Player "Foxy DJ" (steamId=76561198004438499) connected to server!
18:3:49 | "Foxy DJ" (steamid=76561198004438499) toggled godmode
18:11:53 | "76561198004438499" (steamid=76561198004438499) teleported to (pos=<4207.910156, 338.410004, 11045.700195>)
18:11:53 | "Foxy DJ": (steamid=76561198004438499) teleported to (pos=4207.91,0,11045.7)
18:14:10 | Player "Foxy DJ" (steamId=76561198004438499) initiated disconnect process...
18:19:23 | Player "Foxy DJ" (steamId=76561198004438499) connected to server!
18:19:42 | "Foxy DJ" (steamid=76561198004438499) toggled godmode
18:19:43 | "Foxy DJ" (steamid=76561198004438499) toggled godmode
18:19:52 | "Foxy DJ" (steamid=76561198004438499) toggled godmode
18:20:51 | "Foxy DJ" (steamid=76561198004438499) Spawned Item: (AK101)
18:21:43 | "Foxy DJ" (steamid=76561198004438499) Spawned Item: (SKS)
18:23:4 | "Foxy DJ" (steamid=76561198004438499) Spawned Item: (Mag_AK101_30Rnd_Black)
18:32:14 | "76561198004438499" (steamid=76561198004438499) teleported to (pos=<1495.439941, 439.967651, 13602.799805>)
18:32:14 | "Foxy DJ": (steamid=76561198004438499) teleported to (pos=1495.44,0,13602.8)
18:36:3 | "76561198004438499" (steamid=76561198004438499) teleported to (pos=<1662.630005, 451.736298, 14336.900391>)
18:36:3 | "Foxy DJ": (steamid=76561198004438499) teleported to (pos=1662.63,0,14336.9)
18:36:3 | "76561198004438499" (steamid=76561198004438499) teleported to (pos=<1662.630005, 451.736298, 14336.900391>)
18:36:3 | "Foxy DJ": (steamid=76561198004438499) teleported to (pos=1662.63,0,14336.9)
18:43:2 | Player "Foxy DJ" (steamId=76561198004438499) initiated disconnect process...
18:43:3 | Player "Foxy DJ" (steamId=76561198004438499) disconnected early from server (EXIT NOW).
18:43:7 | Player "Foxy DJ" (steamId=76561198004438499) disconnected from server.
